city,latitude,longitude,vehicle_type,nearest_place_name,place_category,distance_to_place,weather_date,temperature,precipitation,wind_speed,business_quarter
Berlin,52.52779160787735,13.380047797821751,bike,The Klub Kitchen,Restaurant,1663.1046094416477,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.507910442894655,13.432643528219083,unknown,Mama Vân - Sài Gòn Deli,Restaurant,2273.6243187414548,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.52882749121538,13.448354665363048,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,2526.8545330763327,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.50039923040486,13.412115374101802,bike,Mama Vân - Sài Gòn Deli,Restaurant,2523.821726753445,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.54486358614231,13.394454135478504,bike,The Klub Kitchen,Restaurant,2020.0201448512448,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.51958459893042,13.42217786937838,bike,Mama Vân - Sài Gòn Deli,Restaurant,902.875599188842,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.509256800940335,13.37784547583956,bike,Madami,Restaurant,2621.919844528468,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.540325058229534,13.35318694704281,bike,The Klub Kitchen,Restaurant,3754.449668988033,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.52524691279037,13.41839876406336,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,478.0732876288526,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.53074394151195,13.35890175606986,bike,The Klub Kitchen,Restaurant,3115.5517448394207,2023-10-21,11.0,1.7,12.5,Q4
Berlin,52.54365777797894,13.396775177442068,unknown,The Klub Kitchen,Restaurant,1843.232653302392,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.52479110378854,13.359016023023573,bike,The Klub Kitchen,Restaurant,3108.5101035139,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.53902961115692,13.401861171035373,bike,The Klub Kitchen,Restaurant,1264.3142241024718,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.5449997632766,13.413703490771056,bike,The Klub Kitchen,Restaurant,2013.516319915294,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.50577174464637,13.39952197607406,bike,Mama Vân - Sài Gòn Deli,Restaurant,2053.36486350872,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.53056972003129,13.36690689017998,bike,The Klub Kitchen,Restaurant,2573.560108943203,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.51130994610194,13.384174706612214,bike,Madami,Restaurant,2142.2633125062302,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.51159958647368,13.394938186737908,bike,Madami,Restaurant,1611.571420404132,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.5313627360534,13.447150786781174,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,2499.142883954856,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.51122689177389,13.435554029154368,bike,Mama Vân - Sài Gòn Deli,Restaurant,2168.995261979986,2023-10-22,11.6,0.0,10.4,Q4
Berlin,52.53305304530039,13.445199209158163,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,2425.970745487684,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.5311743805335,13.41783811438143,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,730.9087028192957,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.54848130869578,13.40072997366507,unknown,The Klub Kitchen,Restaurant,2317.375811496096,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.51653313588877,13.35530107763259,bike,The Klub Kitchen,Restaurant,3569.885984029899,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.515376048280665,13.375894945472195,bike,The Klub Kitchen,Restaurant,2385.6248060237,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.51096121210388,13.409126530013747,bike,Mama Vân - Sài Gòn Deli,Restaurant,1346.7731492921596,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.52587738386296,13.421906425477514,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,710.7013552227387,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.529606316504,13.38730500668036,bike,The Klub Kitchen,Restaurant,1187.930372733078,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.53802922386182,13.43340202408564,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,2011.470863389868,2023-10-23,11.1,0.1,8.9,Q4
Berlin,52.53893977968763,13.428418016787736,bike,Neue Babylon Berlin GmbH,Indie Movie Theater,1853.6318750438647,2023-10-23,11.1,0.1,8.9,Q4
